Timestamp,Title,Link
3 Hours Ago,,/investingclub/
4 Hours Ago,Trump threatens to sue JPMorgan Chase for 'debanking' him,https://www.cnbc.com/2026/01/17/trump-jpmorgan-chase-debanking.html
6 Hours Ago,Trump: NATO members to face tariffs up to 25% until a Greenland deal is struck,https://www.cnbc.com/2026/01/17/trump-greenland-tariffs-nato.html
7 Hours Ago,"Led by Texas, states race to prove they can put bitcoin on public balance sheet",https://www.cnbc.com/2026/01/17/texas-us-states-budgets-bitcoin-crypto-strategic-reserve.html
9 Hours Ago,Unshaken: Why Brazilian stocks have looked past the Venezuela attack,https://www.cnbc.com/2026/01/17/unshaken-why-brazilian-stocks-have-looked-past-the-venezuela-attack.html
9 Hours Ago,Bestselling author: How to create better habits without relying on discipline,https://www.cnbc.com/2026/01/17/james-clear-how-to-create-better-habits-without-relying-on-discipline.html
9 Hours Ago,"Warren Buffett: To maximize your potential, ask yourself this question",https://www.cnbc.com/2026/01/17/warren-buffett-to-maximize-your-potential-ask-yourself-this-question.html
9 Hours Ago,,/pro/
9 Hours Ago,,/pro/
9 Hours Ago,"Buffett on parenting, giving up horse betting and why he stopped talking politics",https://www.cnbc.com/2026/01/17/warren-buffett-on-parenting-horse-betting-and-why-he-stopped-talking-politics.html
9 Hours Ago,"Unexpected expenses take 10% of retirees' income, on average, research shows",https://www.cnbc.com/2026/01/17/retirees-emergency-savings.html
10 Hours Ago,Disney dominated the 2025 box office. Here's how it could keep the crown in 2026,https://www.cnbc.com/2026/01/17/disney-dominated-2025-box-office.html
13 Hours Ago,The founders of billion-dollar AI startups are getting younger — here’s why,https://www.cnbc.com/2026/01/17/billion-dollar-ai-startup-founders-are-getting-younger-heres-why.html
21 Hours Ago,Elon Musk's xAI faces tougher road building data centers after EPA rule update,https://www.cnbc.com/2026/01/16/musks-xai-faces-tougher-road-expanding-memphis-area-after-epa-update.html
23 Hours Ago,Here's why Jim Cramer thinks chip stocks can go higher,https://www.cnbc.com/2026/01/16/heres-why-jim-cramer-thinks-chip-stocks-can-go-higher.html
23 Hours Ago,Cramer's Lightning Round: Sell Super Micro Computer,https://www.cnbc.com/2026/01/16/cramers-lightning-round-sell-super-micro-computer.html
24 Hours Ago,"Cramer's week ahead: Earnings from Netflix, Intel, Capital One, McCormick",https://www.cnbc.com/2026/01/16/cramers-week-ahead-earnings-from-netflix-intel-capital-one-mccormick.html
24 Hours Ago,Google files to appeal search monopoly case,https://www.cnbc.com/2026/01/16/google-files-to-appeal-search-monopoly-case.html
"January 16, 2026","More employers worry about workers' financial well-being, research shows",https://www.cnbc.com/2026/01/16/employers-focusing-more-on-employee-financial-wellbeing-study-shows.html
"January 16, 2026",Republicans want to end the ‘marriage penalty’ for this childcare tax credit,https://www.cnbc.com/2026/01/16/child-and-dependent-care-tax-credit.html
"January 16, 2026",Labor Department accused of echoing Nazi slogan in social media post,https://www.cnbc.com/2026/01/16/trump-labor-nazi-slogan-social-media.html
"January 16, 2026",Education Department to delay collections on defaulted student loans,https://www.cnbc.com/2026/01/16/student-loan-collections-paused.html
"January 16, 2026",,/pro/
"January 16, 2026",OpenAI has committed billions to recent chip deals. Some big names have been left out,https://www.cnbc.com/2026/01/16/openai-chip-deal-with-cerebras-adds-to-roster-of-nvidia-amd-broadcom.html
"January 16, 2026",,/investingclub/
"January 16, 2026",Hassett pivots to possible ‘Trump cards’ amid credit card battle with banks,https://www.cnbc.com/2026/01/16/white-house-hassett-trump-cards-credit-card-battle.html
"January 16, 2026",,/investingclub/
"January 16, 2026",,/pro/
"January 16, 2026",Coastal Virginia Offshore Wind to restart work after judge lifts Trump suspension,https://www.cnbc.com/2026/01/16/biggest-offshore-wind-project-in-us-to-resume-construction-after-judge-lifts-trump-suspension.html
"January 16, 2026",OpenAI to begin testing ads on ChatGPT in the U.S.,https://www.cnbc.com/2026/01/16/open-ai-chatgpt-ads-us.html
